          English                   German                     French                   Spanish              Portuguese                        Arabic
     respectively                     bzw.             respectivement           respectivamente         respectivamente                   على التوالى
      restoration        Wiederherstellung               restauration              restauracion             restauração                       استعادة
        restraint            zurückhaltend                    retenue               restricción               contenção                     ضبط النفس
           resume         wieder aufnehmen                         CV                  reanudar                 retomar                    سيرة ذاتية
          retreat                  Rückzug         battre en retraite                  retirada                  retiro                         تراجع
         retrieve                  abrufen                  récupérer                 recuperar               recuperar                         يسترد
       revelation               Enthüllung                 révélation                revelación               revelação                           وحي
          revenge                    Rache                  vengeance                  venganza                vingança                        انتقام
          reverse                 umkehren                    inverse                   reverso               marcha ré                          يعكس
          revival           Wiederbelebung                 la relance              renacimiento            renascimento                         إحياء
           revive            wiederbeleben                   relancer                  reanimar                 reviver                   اعادة احياء
    revolutionary             revolutionär            révolutionnaire            revolucionario          revolucionário                          ثوري
         rhetoric                 Rhetorik                 rhétorique                  retórica                retórica                       البلاغة
            rifle                   Gewehr                      fusil                     rifle                   rifle                        بندقية
             riot                  Aufruhr                     émeute                 disturbio                rebelião                           شغب
              rip                zerreißen             repose en paix                    rotura                  rasgar                    إرقد بسلام
           ritual                   Ritual                     rituel                    ritual                  ritual                         شعيرة
           robust                   robust                    robuste                   robusto                 robusto                           قوي
             rock                   Felsen                       rock                      roca                   Rocha                           صخر
              rod                     Stab              canne à pêche                   varilla                  Cajado                           عصا
           rookie            Neueinsteiger                   débutant                    novato                  novato                     غير مخضرم
           roster               Dienstplan                      liste                     lista                   lista                         قائمة
           rotate                 rotieren                    tourner                     girar                   girar                       استدارة
         rotation                 Rotation                   rotation                  rotación                 rotação                         دوران
           ruling             Entscheidung                   décision                  decisión                 decisão                           حكم
            rumor                  Gerücht                     rumeur                     rumor                   rumor                         شائعة
           sacred                   heilig                      sacré                   sagrado                 sagrado                          مقدس
        sacrifice                   opfern                  sacrifice                sacrificio              sacrifício                         تضحية
            saint                 Heiliger                      saint                       Smo                   santo                        القديس
             sake                     Sake                       Saké                    motivo               interesse                         مصلحة
         sanction            sanktionieren                   sanction                   sanción                  sanção                         عقوبة
              say                    sagen                       dire                     decir                   dizer                            قل
        scattered                verstreut                   dispersé                  disperso               espalhado                         مبعثر
            scope                   Umfang                     portée                   alcance                 alcance                          مجال
            screw                schrauben                        vis                  tornillo                parafuso                          برغي
         scrutiny                  Prüfung           examen minutieux                escrutinio              escrutínio                       التدقيق
             seal                 Dichtung                    sceller                     sello                    selo                     عجل البحر
         secondly                 zweitens                en deuxième          en segundo lugar        em segundo lugar                        ثانيًا
          secular                 weltlich                   séculier                   secular                 secular                        علماني
        seemingly                scheinbar                apparemment             aparentemente           aparentemente                   على ما يبدو
          segment             segmentieren                    segment                  segmento                segmento                          مقطع
            seize                ergreifen                     saisir                 confiscar              aproveitar                حجز اسر يستولى
           seldom                   Selten                   rarement                 raramente               raramente                        نادرًا
        selective                 selektiv                   sélectif                 selectivo                seletivo                       انتقائي
        sensation               Empfindung                  sensation                 sensación                sensação                         إحساس
      sensitivity          Empfindlichkeit                sensibilité              sensibilidad           sensibilidade                        حساسية
        sentiment               Empfindung                  sentiment               sentimiento              sentimento                       المشاعر
       separation                 Trennung                 séparation                separación               separação                        انفصال
           serial                    Serie                   en série                  de serie                  serial                         مسلسل
       settlement               Abrechnung                  règlement              asentamiento                 povoado                       مستعمرة
            setup              Einrichtung            mettre en place             configuración              configurar                         اقامة
        sexuality               Sexualität                  sexualité                sexualidad             sexualidade                         الجنس
      shareholder                 Aktionär                actionnaire                accionista               acionista                          شريك
          shatter              zerschlagen                     briser                    romper                 quebrar                         تتحطم
             shed                 Schuppen                     hangar                 cobertizo                  cabana                          تسلط
            sheer                   schier                      virer                 escarpado                    puro                           محض
         shipping                  Versand                 expédition                     Envío                   envio                         الشحن
            shoot                 schießen                      tirer                  disparar                  atirar                    أطلق النار
           shrink               schrumpfen                   rétrécir                 encogerse              Psiquiatra                         إنكمش
            shrug               schrumpfen        hausser les épaules   encogimiento de hombros           dar de ombros                      هز كتفيه
             sigh                  seufzen                     soupir                   suspiro                suspirar                          تنهد
         simulate               simulieren                    simuler                   simular                 simular                        محاكاة
       simulation               simulieren                 simulation                simulación               simulação                        محاكاة
   simultaneously             gleichzeitig              simultanément           simultaneamente         simultaneamente                    الوقت ذاته
              sin                 sündigen                      péché                       sin                  pecado                       الخطيئة
         situated                  gelegen                      situé                   situado                 situado                           يقع
        skeptical                skeptisch                  sceptique                 escéptico                  cético                         متشكك
           sketch                   Skizze                  esquisser                  bosquejo          retrato falado                           رسم
             skip             Überspringen                     sauter                    saltar                   pular                         يتخطى
             slam               zuschlagen                    claquer                     golpe                   bater                    ضربة عنيفة
             slap                klatschen                     gifler                  bofetada                    tapa                          يصفع
            slash             Schrägstrich                     sabrer             barra oblicua                 golpear                           خفض
          slavery                Sklaverei                  esclavage                esclavitud              escravidão                        عبودية
             slot                  Schlitz                    insérer                    ranura                    slot                          فتحة
            smash                 Schlagen                  fracasser                  aplastar                 esmagar                         تحطيم
             snap                schnappen                 instantané                    siesta                    foto                  يفرقع، ينفجر
             soak                  tränken                    tremper                  Sumergir                absorver                           نقع
             soar               aufsteigen                     monter                remontarse                disparar                           حلق
        socialist            sozialistisch                 socialiste                socialista              socialista                     الاشتراكي
             sole                   allein                     Unique                     único                   único                    باطن القدم
           solely           ausschließlich                 uniquement                 solamente          exclusivamente                        بمفردي
       solidarity              Solidarität                 solidarité               solidaridad           solidariedade                         تكافل
             solo                   allein                  seulement                      solo                 sozinho                          وحده
        sophomore                Sophomore             deuxième année estudiante de segundo año             segundo ano طالب في السنة الثانية لدراسته
            sound                    Klang                     du son                    sonido                     som                          يبدو
      sovereignty             souveränität            la souveraineté                 soberanía               soberania                         سيادة
             spam                     spam                       Spam         correo no deseado                    Spam         رسائل إلكترونية مزعجة
             span                     span                  envergure                     lapso                 período                          يولد
            spare                   Ersatz                de rechange                  repuesto                  poupar                         إضافي
            spark                    Funke                  étincelle         Chispa - chispear                 fagulha                         شرارة
      specialized            spezialisiert                 spécialisé             especializado           especializado                         متخصص
    specification            Spezifikation              spécification            especificación           especificação                         تخصيص
         specimen                 Exemplar                   spécimen                   muestra                espécime                          عينة
        spectacle                   brille                  spectacle               espectáculo              espetáculo                          مشهد
         spectrum                 Spektrum                    spectre                  espectro                espectro                          نطاق
            spell             Zauberspruch                       sort                 deletrear                soletrar                         يتهجى
           sphere                    Kugel                     sphère                    esfera                  esfera                      جسم كروى
             spin                   Wirbel                  tournoyer                     girar                   rodar                           غزل
            spine              Wirbelsäule      la colonne vertébrale         columna vertebral                  coluna                 العمود الفقري
        spotlight                Spotlight                 projecteur                  destacar                Holofote                      بقعة ضوء
           spouse               Ehepartner                   conjoint                    esposa                 cônjuge                           زوج
              spy               spionieren                  espionner                    espiar                  espião                       الجاسوس
            squad                    Kader                     équipe                    equipo               esquadrão                          فريق
          squeeze                quetschen                    presser                  estrujar                espremer                          يعصر
             stab                  stechen            coup de couteau                  puñalada               punhalada                          طعنة
        stability               Stabilität               la stabilité               estabilidad            estabilidade                        المزيد
        stabilize            stabilisieren                 stabiliser               estabilizar             estabilizar                         يستقر
            stake                abstecken                       pieu                   apostar                  estaca                           حصة
         standing                   stehen                     debout                    de pie                   de pé                           يقف
            stark                    stark                     rigide                    rígido                  rígido                          صارخ
      statistical                Statistik                statistique               estadístico             estatístico                       إحصائية
            steer                   lenken                    diriger                   dirigir                 dirigir                         توجيه
             stem                    Stamm                       tige                  provenir                  tronco                         إيقاف
       stereotype                Stereotyp                 stéréotype               estereotipo             estereótipo                الصورة النمطية
         stimulus                 Anregung                   stimulus                  estímulo                estímulo                       التحفيز
             stir                   rühren                     remuer                   remover                   mexer                          يقلب
          storage                speichern                   stockage            almacenamiento               armazenar                         تخزين
  straightforward            übersichtlich                    directe                   directo           para a frente                          صريح
           strain                Belastung                     souche                   presion                  tensão                        التواء
           strand                   Strang                       brin                     hebra                     fio                          ساحل
        strategic              strategisch                stratégique               estratégico             estratégico                     إستراتيجي
         striking                auffällig                   frappant             sorprendentes          impressionante                    ملفت للنظر
            strip                 Streifen                déshabiller                     banda                   faixa                          قطاع
            strip                 Streifen                déshabiller                     banda                   faixa                          قطاع
           strive                  streben                    aspirer                    luchar                 esforço                         السعي
       structural              strukturell            de construction               estructural              estrutural                       الهيكلي
          stumble                 stolpern                  trébucher                  tropezón                tropeçar                          تعثر
             stun                 betäuben                   étourdir                   aturdir                atordoar                         مذهول
       submission              Einreichung                 soumission                     envío               submissão                       استسلام
       subscriber                 Abonnent                     abonné                   abonado               assinante                         مشترك
     subscription               Abonnement                 abonnement               suscripción               inscrição                      الاشتراك
          subsidy                 Zuschuss                 subvention                subvención               subvenção                      دعم مالي
      substantial                erheblich                substantiel                sustancial             substancial                         حقيقي
    substantially               wesentlich          substantiellement           sustancialmente        substancialmente                        جوهريا
       substitute                   Ersatz                 remplaçant                 sustituto              substituto                          بديل
     substitution             Substitution               substitution               sustitución            substituição                     الاستبدال
           subtle                   subtil                    subtile                     sutil                   sutil                          رقيق
         suburban                   Vorort                de banlieue                 suburbano               suburbano                    من الضواحى
       succession                Nachfolge                 Succession                  sucesión                sucessão                       الخلافة
       successive                Nachfolge                  successif                  sucesivo              sucessivos                        متتالي
        successor               Nachfolger                 successeur                   sucesor                sucessor                         خليفة
             suck                   saugen                      sucer                    chupar                  chupar                            مص
              sue                verklagen      poursuivre en justice                  demandar               processar                          قاضى
          suicide               Selbstmord                    suicide                  suicidio                suicídio                        انتحار
            suite                    Suite                      suite                     suite                   suíte                          جناح
           summit                   Gipfel                     sommet                    cumbre                    cume                           قمة
           superb                   superb                    superbe                 magnífico                 soberbo                          رائع
   superintendent           Superintendent        surveillant général           superintendente         superintendente                        المشرف
         superior                überlegen                  supérieur                  superior                superior                         متفوق
        supervise           beaufsichtigen                 superviser                supervisar           supervisionar                       الإشراف
      supervision                 Aufsicht               surveillance               supervisión              supervisão                         إشراف
       supervisor          Aufsichtsperson                superviseur                supervisor              Supervisor                          مشرف
       supplement                 ergänzen                 supplément                suplemento              suplemento                          ملحق
       supportive            unterstützend                  favorable                     apoyo               solidário                          يدعم
       supposedly                Angeblich                 soi-disant        según cabe suponer            supostamente                         يفترض
         suppress             unterdrücken                   réprimer                  reprimir                suprimir                           كبح
          supreme                  supreme                    suprême                   supremo                 supremo                     أعلى فائق
            surge                  Anstieg                 surtension                     surge                   surge                    يندفع يقوة
         surgical              chirurgisch                chirurgical                quirúrgico               cirúrgico                         جراحي
          surplus               Überschuss                    surplus                 superávit               excedente                          فائض
        surrender               ausliefern                    abandon                 Rendición                  render                        يستسلم
     surveillance              Überwachung               surveillance                vigilancia              vigilância                        مراقبة
       suspension               Aussetzung                 suspension                suspensión               suspensão                ايقاف عن العمل
        suspicion                 Verdacht                    soupçon                  sospecha                suspeita                        اشتباه
       suspicious               verdächtig                    méfiant                sospechoso                suspeito                     مثير للشك
          sustain         aufrechterhalten                   soutenir                  sostener               sustentar                    حَافَظ على
            swing                schwingen                se balancer                     ritmo                 balanço                         تأرجح
            sword                  Schwert                       épée                    espada                  espada                           سيف
         symbolic               symbolisch                 symbolique                 simbólico               simbólico                          رمزي
         syndrome                  Syndrom                   syndrome                  síndrome                síndrome                       متلازمة
        synthesis                 Synthese                la synthèse                  síntesis                 síntese                         تركيب
       systematic             systematisch               systématique               sistemático             sistemático                         منهجي
           tackle                 anpacken               s'attaquer à                   abordar               enfrentar                         يعالج
           tactic                   Taktik                   tactique                   táctica                  tática                         تكتيك
         tactical                 taktisch                   tactique                   táctico                  tático                        تكتيكي
         taxpayer             Steuerzahler               contribuable             contribuyente            contribuinte                  دافع الضرائب
            tempt                verlocken                     tenter                    tentar                 tentado                           جذب
           tenant                   Mieter                  locataire                 inquilino               inquilino                        مستأجر
           tender                  Angebot                      offre                    tierno                   macio                        مناقصة
           tenure                 Amtszeit                     mandat                  tenencia                   posse                          فترة
         terminal                 Terminal                   Terminal                  Terminal                terminal                        الطرفي
        terminate                 kündigen                 mettre fin                  Terminar                encerrar                         إنهاء
          terrain                  Gelände                    terrain                   terreno                 terreno                        تضاريس
         terrific                großartig                 formidable                fantástico              formidável                          رائع
          testify                 bezeugen                  témoigner                testificar             testemunhar                          يشهد
        testimony                  Zeugnis                 témoignage                testimonio              testemunho                         شهادة
          texture                   Textur                    texture                   textura                 textura                        نَسِيج
       thankfully       dankenswerterweise               heureusement           agradecidamente         agradecidamente                     لحسن الحظ
       theatrical             theatralisch                   théâtral                   teatral                 teatral                         مسرحي
         theology                Theologie                  théologie                  teología                teologia                   علم اللاهوت
      theoretical              theoretisch                  théorique                   teórico                 teórico                          نظري
       thereafter                   danach                      après            después de eso            Depois disso                       بعد ذلك
          thereby                    dabei                      ainsi              de este modo              deste modo                          بذلك
       thoughtful             nachdenklich                   réfléchi                 reflexivo             considerado                          وقور
thought-provoking  zum Nachdenken anregend    incitant à la réflexion  invitando a la reflexión              instigante             محفزة على التفكير
           thread                    Thema          fil de discussion                      hilo                     fio                          مسلك
        threshold                 Schwelle                   au seuil                    límite                  limite                          عتبة
         thrilled               begeistert                    content                 encantado             emocionados                  بسعادة غامرة
           thrive                 gedeihen                 s'épanouir                 prosperar               florescer                        النماء
             tide                 Gezeiten                      marée                     marea                    maré                          المد
          tighten                 anziehen                     serrer                   apretar                 apertar                         تشديد
           timber                     Holz                  Charpente                    madera                 madeira                           خشب
           timely                pünktlich                   opportun                  oportuno                oportuno              في الوقت المناسب
          tobacco                    tabak                   le tabac                    tabaco                  tabaco                           تبغ
        tolerance               tolerieren                  tolérance                tolerancia              tolerância                         تفاوت
         tolerate               tolerieren                    tolérer                   tolerar                 tolerar                          تحمل
             toll                     Maut                     sonner                     peaje                 pedágio                          رسوم
              top                   Spitze                       Haut            parte superior                    topo                          أعلى
          torture                  foltern                    torture                   tortura                 tortura                         تعذيب
             toss                   werfen                     lancer                  sacudida                 sorteio                           رمى
            total                    total                      total                     total                   total                       المجموع
            toxic                   giftig                    toxique                    tóxico                  tóxico                          سامة
            trace                     Spur                      trace                    rastro                vestígio                           أثر
        trademark                    Marke             marque déposée           marca comercial         marca comercial                  علامة تجارية
            trail                    trail                      Piste                   sendero                  trilha                    ممر المشاة
          trailer                 Anhänger              bande annonce                  remolque                 reboque                       جَرَّار
      transaction              Transaktion                transaction               transacción               transação                  عملية تجارية
       transcript                Abschrift              transcription             transcripción             transcrição                نسخة طبق الأصل
   transformation               Umwandlung             transformation            transformación           transformação                         تحويل
          transit                  Transit                    transit                  tránsito                transito                          عبور
     transmission              Übertragung               transmission               transmisión             transmissão                        انتقال
     transparency              Transparenz               transparence             transparencia           transparência                      الشفافية
      transparent              transparent                transparent              transparente            transparente                          شفاف
           trauma                   Trauma                traumatisme                    trauma                  trauma                          صدمة
           treaty                  Vertrag                     traité                   tratado                 tratado                        معاهدة
       tremendous            ungeheuerlich                     énorme                    enorme                tremendo                         هائِل
           tribal        Stammesangehörige                     tribal                    tribal                  tribal                       القبلية
          tribute                   Tribut                    hommage                   tributo                 tributo                          تحية
          trigger                 Auslöser                   gâchette                   generar                 acionar                          اثار
             trio                     trio                       trio                      trío                    trio                       الثلاثي
          triumph                  Triumph                   triomphe                   triunfo                 triunfo                        انتصار
           trophy                  Trophäe                    trophée                    trofeo                  troféu                         غنيمة
         troubled               beunruhigt                    troublé                preocupado              perturbado                         مضطرب
          trustee               Treuhänder                   curateur            fideicomisario           administrador                           وصي
          tuition                Schulgeld         frais de scolarité                 matrícula            taxa escolar                        محاضرة
            tumor                    Tumor                     tumeur                     tumor                   tumor                           ورم
          turnout          Wahlbeteiligung                   s'avérer                    apagar          vire para fora                          تحول
         turnover                   Umsatz         chiffre d'affaires                  Rotación      volume de negócios                         دوران
            twist                  Drehung                    tourner                      giro                  torção                         تحريف
 unconstitutional        verfassungswidrig          inconstitutionnel          inconstitucional        inconstitucional                 مخالف للدستور
    undergraduate          Studienanfänger              premier cycle           de licenciatura estudante universitário                      الجامعية
       underlying                 zugrunde                sous-jacent                subyacente              subjacente                      الأساسية
        undermine              untergraben                      saper                   socavar                   minar                         تقويض
      undoubtedly               Zweifellos            indubitablement            indudablemente              sem dúvida                 مما لا شك فيه
            unify         vereinheitlichen                    unifier                  unificar                unificar                          توحد
    unprecedented       noch nie dagewesen             sans précédent           sin precedentes          sem precedente                     غير مسبوق
           unveil                enthüllen                   dévoiler            quitar el velo                 revelar                           كشف
         upcoming                demnächst                    A venir                   próximo                próximos                       القادمة
          upgrade            aktualisieren              mise à niveau                    mejora                melhoria                     رفع مستوى
           uphold         aufrechterhalten                   défendre                  defender                defender                        التمسك
          utility           Dienstprogramm                 utilitaire                  utilidad              Utilitário                          خدمة
          utilize                verwenden                   utiliser                  utilizar                utilizar                        يستخدم
          utterly              Vollständig                tout à fait             absolutamente              totalmente                         تماما
           vacuum                   Vakuum                       vide                   Aspirar                   vácuo                         مكنسة
            vague                     vage                      vague                 impreciso                    vago                          غامض
         validity               Gültigkeit                   validité                   validez                validade                        صلاحية
           vanish             verschwinden                disparaître               desaparecer             desaparecer                         تلاشى
         variable                 variabel                   variable                  variable                variável                          عامل
           varied                 variabel                      varié                   variado                 variado                         متنوع
             vein                 Maserung                      veine                      vena                    veia                        الوريد
          venture                    wagen                 entreprise                   empresa                   risco                       المغامر
           verbal                   verbal                     verbal                    verbal                  verbal                          لفظي
          verdict                   Urteil                    verdict                 veredicto                veredito                           حكم
           verify               nachprüfen                   Vérifier                 verificar               verificar                          تحقق
            verse                  Gedicht                     verset                     verso               versículo                       بيت شعر
           versus                   versus                     contre                    versus                  contra                           عكس
           vessel                   Schiff                     navire                     buque              embarcação                          وعاء
          veteran                  Veteran                    vétéran                   veteran                veterano                         مخضرم
           viable              lebensfähig                     viable                    viable                  viável                   قابل للحياة
          vibrant                 lebendig                    vibrant                  vibrante                vibrante                  نابض بالحياة
             vice                   Laster                       vice                     vicio                   vício                          نائب
          vicious               lasterhaft                    vicieux                   vicioso                 vicioso                          وحشي
          violate                verletzen                     violer                    violar                  violar                         ينتهك
        violation                  Verstoß                  violation                 violación                violação                        انتهاك
           virtue                   Tugend                      vertu                    virtud                 virtude                       استنادا
            vocal                stimmlich                      vocal                     vocal                   vocal                          صوتي
              vow                  Gelübde                        vœu                      voto               juramento                           نذر
    vulnerability           Verwundbarkeit              vulnérabilité            vulnerabilidad         vulnerabilidade                           وهن
       vulnerable              verletzlich                 vulnérable                vulnerable              vulnerável                      غير حصين
             ward                  Station                   quartier                  pabellón              enfermaria                          جناح
        warehouse                    Lager                   entrepôt                  depósito                 armazém                        مستودع
          warfare            Kriegsführung                     guerre                    guerra                  guerra                           حرب
          warrant               Haftbefehl                   garantir                     orden                 mandado                         مذكرة
          warrior                  krieger                   guerrier                  guerrero               guerreiro                         محارب
           weaken                schwächen                  affaiblir                 debilitar             enfraquecer                          تضعف
            weave                    weben                     tisser                    tejido                   tecer                           نسج
             weed                  Unkraut             mauvaise herbe                    hierba            erva daninha                     عشبة ضارة
